TIMESTAMP,TIMER,JOINTTYPE,xPOSITION,yPOSITION,zPOSITION
16:11:23:4091, 00:00:00.5034084, Head,0.2412647,0.5102092,2.259949
16:11:23:4102, 00:00:00.5043769, ShoulderLeft,-0.005266917,0.2172469,2.183883
16:11:23:4112, 00:00:00.5054337, ElbowLeft,-0.1417423,0.01738418,2.141388
16:11:23:4122, 00:00:00.5064521, WristLeft,-0.1654266,-0.1551247,1.936375
16:11:23:4132, 00:00:00.5075055, HandLeft,-0.1536388,-0.220891,1.877813
16:11:23:4142, 00:00:00.5085269, ShoulderRight,0.3294778,0.157461,2.251116
16:11:23:4152, 00:00:00.5095505, ElbowRight,0.4027874,-0.0262446,2.189476
16:11:23:4162, 00:00:00.5105171, WristRight,0.4827488,-0.1408215,2.031127
16:11:23:4172, 00:00:00.5114773, HandRight,0.5074512,-0.1944216,1.990887
16:11:23:4182, 00:00:00.5125175, HipLeft,0.04239477,-0.1777717,2.095252
16:11:23:4192, 00:00:00.5135513, KneeLeft,-0.02672486,-0.5411994,1.964318
16:11:23:4202, 00:00:00.5144862, AnkleLeft,-0.07371642,-0.8757699,1.828487
16:11:23:4212, 00:00:00.5154823, FootLeft,-0.05819648,-0.895435,1.728012
16:11:23:4222, 00:00:00.5164247, HipRight,0.1966125,-0.2072877,2.137819
16:11:23:4232, 00:00:00.5175983, KneeRight,0.1941298,-0.5599209,2.087611
16:11:23:4242, 00:00:00.5186381, AnkleRight,0.1583263,-0.9458576,2.062982
16:11:23:4252, 00:00:00.5196036, FootRight,0.1745511,-0.9905832,1.971008
16:11:23:4272, 00:00:00.5211615, HipCenter,0.1274529,-0.1148048,2.156304
16:11:23:4282, 00:00:00.5223596, Spine,0.1223609,-0.0560697,2.222019
16:11:23:4292, 00:00:00.5236381, ShoulderCenter,0.1644683,0.3176507,2.263671
16:11:23:4312, 00:00:00.5247123, Head,0.2340533,0.5142455,2.273401
16:11:23:4322, 00:00:00.5258488, ShoulderLeft,-0.003991024,0.2168348,2.204779
16:11:23:4362, 00:00:00.5297439, ElbowLeft,-0.1371557,0.01537112,2.156976
16:11:23:4372, 00:00:00.5311372, WristLeft,-0.1617681,-0.153791,1.95221
16:11:23:4382, 00:00:00.5324704, HandLeft,-0.1492435,-0.2194427,1.896688
16:11:23:4392, 00:00:00.5336530, ShoulderRight,0.3338724,0.157495,2.264088
16:11:23:4402, 00:00:00.5346585, ElbowRight,0.4095261,-0.02368751,2.200468
16:11:23:4412, 00:00:00.5356538, WristRight,0.4900639,-0.1360531,2.042227
16:11:23:4422, 00:00:00.5366404, HandRight,0.4815028,-0.1506606,2.04657
16:11:23:4442, 00:00:00.5377162, HipLeft,0.04301317,-0.1774486,2.117432
16:11:23:4452, 00:00:00.5387549, KneeLeft,-0.02799183,-0.5426086,1.974761
16:11:23:4463, 00:00:00.5397615, AnkleLeft,-0.07321469,-0.8706363,1.84227
16:11:23:4473, 00:00:00.5407731, FootLeft,-0.05988818,-0.8902262,1.742052
16:11:23:4483, 00:00:00.5418012, HipRight,0.1985479,-0.2058665,2.152568
16:11:23:4493, 00:00:00.5428275, KneeRight,0.1972031,-0.5608152,2.103567
16:11:23:4503, 00:00:00.5441622, AnkleRight,0.1581759,-0.9424607,2.079276
16:11:23:4513, 00:00:00.5452787, FootRight,0.1712856,-0.9867955,1.987258
16:11:23:4533, 00:00:00.5473015, HipCenter,0.1292749,-0.1149599,2.173262
16:11:23:4547, 00:00:00.5484814, Spine,0.1261791,-0.05696165,2.239337
16:11:23:4553, 00:00:00.5495786, ShoulderCenter,0.1678158,0.3149495,2.28115
16:11:23:4563, 00:00:00.5506453, Head,0.2306163,0.5160482,2.292094
16:11:23:4583, 00:00:00.5517656, ShoulderLeft,-0.002252211,0.2157962,2.225511
16:11:23:4593, 00:00:00.5528923, ElbowLeft,-0.1347292,0.01302838,2.188819
16:11:23:4603, 00:00:00.5551117, WristLeft,-0.1571937,-0.1549032,1.979994
16:11:23:4633, 00:00:00.5572798, HandLeft,-0.1466753,-0.219283,1.923688
16:11:23:4673, 00:00:00.5615215, ShoulderRight,0.3373221,0.1571204,2.273111
16:11:23:4693, 00:00:00.5635492, ElbowRight,0.4151079,-0.02138339,2.205525
16:11:23:4723, 00:00:00.5659861, WristRight,0.4950139,-0.1407024,2.053879
16:11:23:4743, 00:00:00.5679646, HandRight,0.4909371,-0.1503977,2.051475
16:11:23:4753, 00:00:00.5692325, HipLeft,0.04396822,-0.1779416,2.137233
16:11:23:4768, 00:00:00.5707866, KneeLeft,-0.02910179,-0.5439665,1.982562
16:11:23:4783, 00:00:00.5725224, AnkleLeft,-0.07187814,-0.8674072,1.856152
16:11:23:4793, 00:00:00.5740010, FootLeft,-0.06144057,-0.8869655,1.756089
16:11:23:4833, 00:00:00.5772633, HipRight,0.2006504,-0.2050887,2.166103
16:11:23:4844, 00:00:00.5787453, KneeRight,0.1968437,-0.5634236,2.119853
16:11:23:4864, 00:00:00.5805683, AnkleRight,0.1600624,-0.9410475,2.092321
16:11:23:4884, 00:00:00.5828960, FootRight,0.17042,-0.9837382,1.999723
16:11:23:4914, 00:00:00.5849659, HipCenter,0.1292922,-0.1160508,2.188676
16:11:23:4952, 00:00:00.5886840, Spine,0.127285,-0.05791311,2.254782
16:11:23:4974, 00:00:00.5909196, ShoulderCenter,0.1699311,0.314591,2.296212
16:11:23:5005, 00:00:00.5942907, Head,0.2247984,0.515426,2.307391
16:11:23:5037, 00:00:00.5972460, ShoulderLeft,-0.000166188,0.2126128,2.240262
16:11:23:5044, 00:00:00.5984958, ElbowLeft,-0.1334584,0.01316409,2.205878
16:11:23:5054, 00:00:00.5995681, WristLeft,-0.1573129,-0.1569092,1.998081
16:11:23:5074, 00:00:00.6009826, HandLeft,-0.1463856,-0.2182618,1.946878
16:11:23:5084, 00:00:00.6022037, ShoulderRight,0.3389002,0.1578106,2.283876
16:11:23:5094, 00:00:00.6033179, ElbowRight,0.4208455,-0.0198231,2.22732
16:11:23:5104, 00:00:00.6043748, WristRight,0.4967183,-0.1331091,2.069845
